Country ID,Country,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"GHG total without LULUCF, latest year  
1000 t of
 CO₂ equivalent ",% change since 1990,"GHG emissions per capita,
latest year 
kg of CO₂ equivalent"
4,Afghanistan,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"19,328.02",...,...,...,...,...,...,...,"43,377.00",...,...,...,...,...,2013,43377.00,...,1.34
8,Albania,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","4,341.63","6,486.66","4,581.28","4,588.00","4,906.36","4,883.76","4,998.58","5,107.07","5,830.67","6,303.45","5,775.17","6,454.80","6,471.21","6,827.43","7,192.71","7,131.13","7,183.33","7,551.47","7,630.94","8,125.70",...,...,...,...,...,...,...,...,...,2009,8125.70,87.16,2.73
12,Algeria,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"91,758.00",...,...,...,...,...,"111,022.59",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,111022.59,...,3.58
24,Angola,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,...,...,...,...,...,"46,188.93",...,...,...,...,"61,610.76",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,61610.76,...,3.17
28,Antigua and Barbuda,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",388.63,...,...,...,...,...,...,...,...,...,597.75,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,597.75,53.81,7.86
32,Argentina,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","231,057.28",...,...,...,"257,522.43",...,...,"270,910.29",...,...,"282,000.76",...,...,...,...,...,...,...,...,...,"332,498.16",...,"338,963.35",...,...,...,...,...,...,2012,338963.35,46.70,8.12
51,Armenia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","24,954.83",...,...,...,...,...,...,...,...,...,"5,525.91",...,...,...,...,...,"7,021.64",...,...,...,"7,202.17",...,...,...,...,...,...,...,...,2010,7202.17,-71.14,2.50
36,Australia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","424,998.38","426,015.21","430,216.38","430,612.56","430,653.33","439,004.90","446,681.85","458,841.60","472,629.67","478,199.84","489,373.84","496,982.31","500,807.89","502,301.78","520,315.18","526,206.97","530,787.99","536,888.60","540,669.00","544,285.46","540,571.41","542,511.92","544,732.76","535,006.81","530,411.02","538,618.78","548,862.55","556,612.27","558,047.22",2018,558047.22,31.31,22.41
40,Austria,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","78,492.61","82,157.14","75,524.00","75,771.05","76,016.83","79,382.99","82,605.50","82,175.96","81,511.96","79,931.07","80,261.99","84,151.51","85,906.92","91,545.24","91,139.81","92,427.27","90,022.83","87,337.77","86,747.76","80,163.13","84,612.84","82,286.89","79,528.79","79,971.98","76,346.01","78,509.78","79,467.29","82,023.36","78,950.34",2018,78950.34,0.58,8.88
31,Azerbaijan,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","73,385.78","66,568.96","57,604.85","50,842.94","45,065.06","47,539.94","40,316.85","39,318.38","38,821.97","39,090.76","40,624.50","40,828.82","40,779.79","43,684.26","46,259.96","49,322.49","49,235.65","46,944.33","53,779.54","48,281.83","48,048.28","49,128.55","51,803.95","57,994.77",...,...,...,...,...,2013,57994.77,-20.97,6.18
