Country ID,Country,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"GHG total without LULUCF, latest year  
1000 t of
 CO₂ equivalent ",% change since 1990,"GHG emissions per capita,
latest year 
kg of CO₂ equivalent"
372,Ireland,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","55,468.30","56,146.92","56,013.36","56,416.31","57,760.82","59,164.25","61,234.15","62,565.16","65,031.48","66,174.54","68,314.28","70,221.21","68,244.22","68,550.02","67,990.21","69,702.11","68,825.59","68,042.03","67,490.64","61,736.43","61,277.54","57,156.86","57,752.70","57,589.73","57,325.32","59,415.93","61,491.44","61,004.88","60,934.54",2018,60934.54,9.85,12.65
376,Israel,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,...,"57,653.40",...,...,...,"67,162.86",...,...,"69,900.28","70,223.70","70,784.48","72,125.21","75,367.21","76,733.41","72,892.51","75,738.28","77,881.67","83,821.96","78,272.45","76,032.39","79,163.87","79,049.45","78,034.61","78,697.77",2018,78697.77,...,9.39
380,Italy,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","516,051.74","517,107.00","516,117.31","509,104.90","503,368.55","529,435.48","523,538.23","531,260.38","543,481.19","548,740.28","552,474.43","554,029.53","560,213.53","579,418.02","585,375.66","586,529.47","576,602.67","569,689.77","557,101.80","502,603.75","513,756.38","501,288.05","482,361.63","447,072.72","426,491.71","439,431.75","436,088.45","431,324.46","427,529.02",2018,427529.02,-17.15,7.05
388,Jamaica,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"116,314.20",...,...,...,...,...,...,...,...,...,...,...,"15,966.00","15,762.05","18,465.11","15,533.79","14,866.26",...,"14,918.49",...,...,...,...,...,...,2012,14918.49,...,5.25
392,Japan,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","1,270,039.97","1,284,001.18","1,296,664.52","1,289,105.60","1,353,440.83","1,374,505.10","1,386,969.52","1,379,301.65","1,330,779.96","1,354,370.00","1,374,774.03","1,349,333.28","1,373,167.46","1,379,116.92","1,371,688.86","1,378,770.81","1,357,162.21","1,393,190.47","1,321,204.29","1,248,422.29","1,302,549.97","1,353,603.93","1,396,323.77","1,407,809.07","1,358,344.55","1,319,800.19","1,302,842.08","1,289,239.53","1,238,342.71",2018,1238342.71,-2.50,9.74
400,Jordan,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"21,943.44",...,...,...,...,...,"19,401.93",...,...,...,...,...,"27,752.00",...,...,...,...,...,...,...,...,...,...,...,...,2006,27752.00,...,4.63
398,Kazakhstan,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","401,871.42","388,981.94","360,142.31","322,478.57","274,206.46","255,808.65","237,527.36","230,633.86","228,926.65","203,735.18","238,979.34","198,340.60","216,042.50","237,980.28","248,963.98","262,116.25","284,307.53","292,204.62","295,595.60","289,196.42","320,259.32","311,437.82","317,589.18","326,985.99","351,113.73","359,580.68","360,520.71","381,931.52","396,570.47",2018,396570.47,-1.32,21.65
404,Kenya,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"21,466.23","34,868.51",...,...,...,...,"34,213.05",...,...,...,...,"39,765.16",...,...,...,...,"49,964.09",...,...,...,...,...,...,...,...,2010,49964.09,...,1.19
296,Kiribati,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,27.97,...,...,...,...,...,...,...,...,...,29.66,31.23,256.41,271.21,170.31,...,...,...,...,...,...,...,...,...,...,2008,170.31,...,1.72
414,Kuwait,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"32,373.39",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"86,336.98",...,...,2016,86336.98,...,21.82
417,Kyrgyzstan,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","28,392.48","25,545.53","22,097.85","17,662.99","13,326.10","9,839.62","9,788.59","10,790.37","9,642.83","9,223.92","9,279.34","9,241.10","9,828.88","10,268.92","10,990.12","11,369.69","11,435.36","12,478.44","13,746.30","13,636.63","12,773.96",...,...,...,...,...,...,...,...,2010,12773.96,-55.01,2.36
418,Lao People's Democratic Republic,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","6,866.56",...,...,...,...,...,...,...,...,...,"8,898.18",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,8898.18,29.59,1.67
428,Latvia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","26,288.57","24,408.85","19,652.62","16,239.32","14,312.39","12,954.57","13,004.99","12,454.06","11,956.98","11,177.51","10,561.51","11,142.87","11,118.97","11,308.07","11,276.28","11,451.43","11,932.70","12,380.71","11,906.52","11,221.35","12,309.64","11,519.61","11,336.64","11,264.06","11,166.00","11,214.00","11,203.13","11,248.15","11,745.26",2018,11745.26,-55.32,6.09
422,Lebanon,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"15,702.33",...,...,...,...,...,"18,446.84",...,...,...,...,...,...,...,...,...,...,"24,484.86","26,223.53","26,134.76",...,...,...,...,...,2013,26134.76,...,4.42
426,Lesotho,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"1,820.29",...,...,...,...,...,"3,512.89",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,3512.89,...,1.73
