PROVINCIAS,CANTONES,DPA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
AZUAY,CUENCA,0101,524563,535624,546864,558127,569416,580706,591996,603269,614539,625775,636996,648172,659317,670405,681453,692430,703347,714200,724994,735709,746336
AZUAY,GIRON,0102,13192,13196,13197,13195,13187,13175,13157,13134,13107,13074,13037,12995,12949,12899,12843,12784,12721,12654,12583,12509,12431
AZUAY,GUALACEO,0103,44487,44994,45501,45997,46482,46954,47411,47855,48286,48702,49104,49491,49864,50221,50563,50890,51202,51498,51779,52045,52296
AZUAY,NABON,0104,16593,16686,16777,16863,16943,17017,17084,17145,17201,17250,17292,17329,17359,17384,17401,17413,17420,17420,17415,17404,17388
AZUAY,PAUTE,0105,26559,26853,27146,27432,27712,27983,28246,28500,28747,28985,29214,29433,29645,29847,30040,30223,30398,30563,30719,30866,31004
AZUAY,PUCARA,0106,10510,10533,10554,10572,10586,10596,10601,10603,10601,10595,10584,10570,10553,10531,10506,10478,10446,10410,10371,10329,10284
AZUAY,SAN FERNANDO,0107,4177,4181,4185,4187,4187,4186,4183,4179,4173,4165,4156,4146,4134,4121,4106,4090,4072,4054,4033,4012,3990
AZUAY,SANTA ISABEL,0108,19167,19365,19563,19755,19943,20124,20298,20467,20630,20786,20935,21078,21214,21344,21467,21583,21692,21794,21890,21980,22062
AZUAY,SIGSIG,0109,28047,28326,28603,28873,29134,29387,29630,29864,30089,30304,30509,30705,30891,31067,31232,31388,31534,31671,31797,31914,32021
AZUAY,OÑA,0110,3732,3775,3818,3861,3903,3943,3982,4020,4057,4093,4128,4161,4194,4225,4254,4283,4310,4336,4360,4384,4406
AZUAY,CHORDELEG,0111,13074,13289,13507,13723,13938,14150,14360,14568,14773,14976,15176,15373,15567,15757,15945,16129,16310,16487,16661,16831,16997
AZUAY,EL PAN,0112,3179,3175,3170,3164,3157,3149,3140,3129,3118,3105,3091,3076,3060,3043,3025,3006,2987,2966,2945,2923,2900
AZUAY,SEVILLA DE ORO,0113,6130,6211,6292,6372,6451,6529,6604,6678,6751,6821,6890,6957,7022,7086,7147,7206,7263,7319,7372,7424,7473
AZUAY,GUACHAPALA,0114,3553,3588,3623,3656,3689,3720,3750,3780,3807,3834,3859,3884,3907,3928,3949,3968,3985,4002,4017,4032,4045
AZUAY,CAMILO PONCE ENRIQUEZ,0115,22557,23697,24895,26142,27441,28793,30204,31668,33191,34774,36423,38133,39909,41752,43669,45655,47714,49850,52069,54364,56743
BOLIVAR,GUARANDA,0201,95720,97124,98519,99897,101253,102586,103884,105153,106387,107590,108763,109900,111008,112094,113154,114192,115203,116187,117152,118086,118994
BOLIVAR,CHILLANES,0202,18292,18175,18053,17925,17792,17652,17504,17350,17189,17023,16850,16673,16492,16308,16119,15930,15737,15542,15345,15147,14946
BOLIVAR,SAN JOSE DE CHIMBO,0203,16490,16607,16719,16826,16926,17020,17106,17185,17257,17321,17378,17428,17472,17511,17544,17572,17595,17612,17625,17632,17635
BOLIVAR,ECHEANDIA,0204,12631,12791,12951,13107,13259,13408,13552,13692,13826,13956,14081,14201,14317,14430,14538,14644,14745,14843,14937,15028,15114
BOLIVAR,SAN MIGUEL,0205,28514,28614,28705,28786,28856,28914,28957,28989,29006,29011,29004,28985,28956,28917,28869,28813,28748,28675,28595,28506,28409
BOLIVAR,CALUMA,0206,13645,13926,14208,14490,14772,15054,15333,15610,15885,16158,16429,16697,16963,17228,17492,17755,18016,18276,18534,18791,19045
BOLIVAR,LAS NAVES,0207,6339,6452,6564,6677,6788,6899,7008,7115,7221,7325,7428,7529,7628,7727,7824,7920,8015,8109,8201,8292,8382
CAÑAR,AZOGUES,0301,73407,74698,76003,77310,78615,79917,81212,82497,83770,85030,86276,87508,88722,89921,91101,92265,93408,94535,95637,96721,97788
CAÑAR,BIBLIAN,0302,21883,22090,22296,22499,22697,22889,23074,23253,23423,23586,23741,23888,24026,24157,24279,24393,24499,24597,24685,24766,24839
CAÑAR,CAÑAR,0303,62317,63012,63707,64394,65068,65729,66372,66996,67601,68185,68747,69288,69807,70303,70776,71227,71655,72062,72441,72800,73139
CAÑAR,LA TRONCAL,0304,56646,58477,60361,62288,64256,66266,68317,70401,72523,74678,76872,79098,81356,83648,85975,88333,90723,93145,95598,98081,100597
CAÑAR,EL TAMBO,0305,9899,10143,10391,10643,10897,11153,11413,11673,11935,12198,12462,12727,12993,13259,13526,13793,14060,14328,14595,14863,15130
CAÑAR,DELEG,0306,6419,6463,6506,6548,6588,6626,6662,6695,6727,6755,6782,6805,6827,6846,6862,6876,6887,6896,6903,6907,6909
CAÑAR,SUSCAL,0307,5243,5365,5490,5615,5742,5870,5998,6128,6257,6387,6516,6646,6776,6906,7036,7166,7296,7425,7553,7682,7810
