CODIGO,PROVINCIA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
01,AZUAY,739520,753493,767695,781919,796169,810412,824646,838859,853070,867239,881394,895503,909585,923610,937600,951526,965401,979224,993005,1006726,1020376
02,BOLIVAR,191631,193689,195719,197708,199646,201533,203344,205094,206771,208384,209933,211413,212836,214215,215540,216826,218059,219244,220389,221482,222525
03,CAÑAR,235814,240248,244754,249297,253863,258450,263048,267643,272236,276819,281396,285960,290507,295040,299555,304053,308528,312988,317412,321820,326212
04,CARCHI,171746,173410,175050,176662,178228,179768,181265,182719,184136,185523,186869,188167,189421,190647,191832,192981,194088,195145,196157,197125,198046
06,CHIMBORAZO,476255,481498,486680,491753,496735,501584,506325,510935,515417,519777,524004,528104,532089,535968,539730,543370,546889,550295,553576,556736,559777
05,COTOPAXI,424663,431243,437826,444398,450921,457404,463819,470167,476428,482615,488716,494716,500637,506476,512226,517894,523464,528936,534294,539537,544670
07,EL ORO,624860,634481,644000,653400,662671,671817,680845,689760,698545,707204,715751,724193,732522,740737,748841,756839,764712,772467,780087,787578,794924
08,ESMERALDAS,551712,561605,571382,534084,542707,551165,559471,567610,575593,583417,591083,598601,605976,613207,620302,627261,634081,640755,647283,653658,659865
20,GALAPAGOS,25884,26576,27284,28000,28726,29453,30172,30890,31600,32320,33042,33769,34503,35244,35997,36759,37530,38307,39094,39892,40697
09,GUAYAS,3778720,3840319,3901981,3963541,4024929,4086089,4146996,4207610,4267893,4327845,4387434,4446641,4505474,4563904,4621895,4679414,4736398,4792769,4848537,4903644,4958017
10,IMBABURA,413657,419919,426223,432543,438868,445175,451476,457737,463957,470129,476257,482326,488326,494268,500138,505921,511620,517222,522721,528123,533413
11,LOJA,467671,473331,478964,484529,490039,495464,500794,506035,511184,516231,521154,525984,530691,535286,539758,544113,548334,552439,556422,560268,563998
12,LOS RIOS,805514,817676,829779,841767,853622,865340,876912,888351,899632,910770,921763,932593,943296,953850,964253,974493,984557,994437,1004126,1013610,1022881
13,MANABI,1420348,1436259,1451873,1467111,1481940,1496366,1510375,1523950,1537090,1549796,1562079,1573950,1585372,1596389,1606972,1617142,1626883,1636198,1645072,1653532,1661533
14,MORONA SANTIAGO,153163,157551,161948,166345,170722,175074,179406,183728,188028,192301,196535,200737,204900,209035,213126,217173,221176,225141,229072,232964,236817
15,NAPO,106953,109514,112151,114805,117465,120144,122838,125538,128252,130976,133705,136434,139162,141873,144580,147285,149974,152660,155325,157987,160643
22,ORELLANA,137786,140663,143421,146058,148573,150977,153269,155453,157520,159479,161338,163095,164765,166349,167869,169333,170737,172077,173347,174549,175686
16,PASTAZA,86470,89053,91699,94373,97093,99855,102655,105494,108365,111270,114202,117155,120128,123117,126123,129134,132163,135216,138276,141357,144459
17,PICHINCHA,2667953,2723509,2779370,2835373,2891472,2947627,3003799,3059971,3116111,3172200,3228233,3284186,3340039,3395781,3451380,3506824,3562040,3617012,3671716,3726129,3780211
24,SANTA ELENA,318247,326215,334276,342408,350624,358896,367235,375646,384102,392611,401178,409810,418495,427240,436038,444896,453805,462763,471749,480772,489824
23,SANTO DOMINGO,379378,387229,395133,449989,458785,467569,476345,485090,493821,502504,511151,519739,528297,536783,545200,553536,561785,569945,578015,585996,593867
21,SUCUMBIOS,181287,186072,190896,195759,200656,205586,210532,215499,220483,225481,230503,235537,240573,245620,250670,255729,260789,265832,270860,275885,280894
18,TUNGURAHUA,524048,530655,537351,544090,550832,557563,564260,570933,577551,584114,590600,597011,603340,609573,615710,621747,627694,633536,639254,644853,650333
19,ZAMORA CHINCHIPE,95194,97676,100170,102684,105213,107749,110296,112835,115368,117899,120416,122921,125425,127932,130419,132902,135369,137835,140296,142749,145188
90,ZONAS NO DELIMITADAS,33754,34547,35348,36153,36967,37784,38607,39430,40255,41082,41907,42732,43553,44368,45182,45989,46788,47578,48363,49141,49911
