DPA,PROVINCIA,VAB_2019
01, AZUAY,5414336.677
02, BOLíVAR,582615.209
03, CAÑAR,1031540.153
04, CARCHI,685656.5679
06, CHIMBORAZO,1769190.489
05, COTOPAXI,1819705.492
07, EL ORO,3664428.687
08, ESMERALDAS,2791978.228
20, GALÁPAGOS,258114.8053
09, GUAYAS,28050296.82
10, IMBABURA,1853664.748
11, LOJA,1834254.935
12, LOS RíOS,3575345.45
13, MANABí,5829023.304
14, MORONA SANTIAGO,474181.4215
15, NAPO,456210.8377
22, ORELLANA,4395505.494
16, PASTAZA,730948.3473
17, PICHINCHA,27025826.63
24, SANTA ELENA,1515162.209
23, SANTO DOMINGO,2097617.021
21, SUCUMBÍOS,1899785.82
18, TUNGURAHUA,2799400.663
19, ZAMORA CHINCHIPE,316787.1242
